Investor,Startup,Compatibility,Score
Morris-Brown,"Perkins, Moss and Moreno",High Compatibility,100.0
Ryan LLC,Hickman and Sons,High Compatibility,100.0
Miller and Sons,Adkins-Dean,High Compatibility,100.0
Ryan LLC,Jensen-Roberts,High Compatibility,100.0
Miller and Sons,"Hammond, Thornton and Michael",High Compatibility,100.0
Ryan LLC,"Edwards, Cabrera and Miller",High Compatibility,94.0
Becker Ltd,Hill-Huerta,High Compatibility,94.0
Hall PLC,Harris Group,High Compatibility,94.0
Hall PLC,"Miller, Swanson and Allen",High Compatibility,94.0
Potts Inc,Mata Ltd,High Compatibility,94.0
Ryan LLC,"Warren, Prince and Walker",High Compatibility,94.0
French Ltd,Nguyen PLC,High Compatibility,94.0
"King, Mitchell and Williams",York-Ball,High Compatibility,94.0
"Avery, Jackson and Simmons","White, Odom and Burke",High Compatibility,88.0
"Williamson, Cruz and Rice",Martin-Hudson,High Compatibility,88.0
"Avery, Jackson and Simmons","Woodard, Beck and Kim",High Compatibility,88.0
Gibson-Jones,"Fuentes, Hebert and Hunter",High Compatibility,88.0
Ryan LLC,Rivera Inc,High Compatibility,88.0
Gibson-Jones,Taylor-Taylor,High Compatibility,88.0
French Ltd,Brown-Watson,High Compatibility,88.0
Gibson-Jones,"Jackson, Scott and Mclean",High Compatibility,88.0
Smith-Wright,Hill-Huerta,High Compatibility,88.0
Bennett-Roberts,"Jackson, Scott and Mclean",High Compatibility,88.0
"Aguirre, Vincent and Chang","White, Odom and Burke",High Compatibility,88.0
Miller and Sons,"Fischer, Oconnor and Wright",High Compatibility,88.0
"King, Mitchell and Williams","Lee, Sosa and Hernandez",High Compatibility,88.0
Becker Ltd,Hunt LLC,High Compatibility,88.0
Miller and Sons,Padilla Inc,High Compatibility,88.0
Becker Ltd,Hess-Wheeler,High Compatibility,88.0
Hall PLC,Bell-Stephenson,High Compatibility,88.0
Becker Ltd,"Grant, Wright and Pearson",High Compatibility,88.0
Potts Inc,Torres-Orr,High Compatibility,88.0
Harris Ltd,York-Ball,High Compatibility,88.0
"Williamson, Cruz and Rice","Gay, Hoffman and Rose",High Compatibility,88.0
Maldonado PLC,Taylor LLC,High Compatibility,85.0
Ryan LLC,"Grant, Wright and Pearson",High Compatibility,85.0
Ryan LLC,Harris Group,High Compatibility,85.0
Gibson-Jones,"Perkins, Moss and Moreno",High Compatibility,85.0
Ryan LLC,Hess-Wheeler,High Compatibility,85.0
Ryan LLC,Hill-Huerta,High Compatibility,85.0
Potts Inc,Barrett and Sons,High Compatibility,85.0
Potts Inc,Martinez Inc,High Compatibility,85.0
Miller and Sons,"Fuentes, Hebert and Hunter",High Compatibility,85.0
Miller and Sons,Taylor-Taylor,High Compatibility,85.0
Ryan LLC,Hunt LLC,High Compatibility,85.0
Ryan LLC,"Miller, Swanson and Allen",High Compatibility,85.0
Becker Ltd,"Meadows, Stephens and Hernandez",High Compatibility,82.0
Becker Ltd,Spencer and Sons,High Compatibility,82.0
Gordon PLC,"Perkins, Moss and Moreno",High Compatibility,82.0
Maldonado PLC,Torres Inc,High Compatibility,82.0
Parker-Miller,Adkins-Dean,High Compatibility,82.0
Parker-Miller,Padilla Inc,High Compatibility,82.0
Parker-Miller,Taylor-Taylor,High Compatibility,82.0
Parker-Miller,"Fischer, Oconnor and Wright",High Compatibility,82.0
Smith Group,York-Ball,High Compatibility,82.0
Thompson and Sons,"Perkins, Moss and Moreno",High Compatibility,82.0
Thompson and Sons,"Bennett, Green and Robles",High Compatibility,82.0
Gordon PLC,"Bennett, Green and Robles",High Compatibility,82.0
"Odonnell, Thornton and King","Rogers, Larsen and Smith",High Compatibility,82.0
Miller-Johnson,"Edwards, Cabrera and Miller",High Compatibility,82.0
Parker-Miller,"Hammond, Thornton and Michael",High Compatibility,82.0
Becker Ltd,Johnston-Fuller,High Compatibility,82.0
Parker-Miller,"Jackson, Scott and Mclean",High Compatibility,82.0
Smith Group,"Lee, Sosa and Hernandez",High Compatibility,82.0
Hutchinson PLC,"Dalton, Nguyen and Webb",High Compatibility,82.0
Hutchinson PLC,Harris Group,High Compatibility,82.0
Fleming Ltd,Torres-Orr,High Compatibility,82.0
"Vaughn, Smith and Larson",Martin-Hudson,High Compatibility,82.0
"King, Foster and Orr","Smith, Cunningham and Mays",High Compatibility,82.0
Miller-Johnson,"Warren, Prince and Walker",High Compatibility,82.0
Miller-Johnson,Hickman and Sons,High Compatibility,82.0
Miller-Johnson,Jensen-Roberts,High Compatibility,82.0
Miller-Johnson,Rivera Inc,High Compatibility,82.0
Parker-Miller,"Fuentes, Hebert and Hunter",High Compatibility,82.0
Hall PLC,"Dalton, Nguyen and Webb",High Compatibility,82.0
Gibson-Jones,"Hammond, Thornton and Michael",High Compatibility,82.0
Gibson-Jones,Padilla Inc,High Compatibility,82.0
French Ltd,Brown-Burton,High Compatibility,82.0
Wilson-Miller,"Lee, Sosa and Hernandez",High Compatibility,82.0
Wilson-Miller,York-Ball,High Compatibility,82.0
French Ltd,"Crawford, Reyes and Smith",High Compatibility,82.0
Hopkins LLC,"Lee, Sosa and Hernandez",High Compatibility,82.0
Gibson-Jones,"Fischer, Oconnor and Wright",High Compatibility,82.0
Johnson-Hale,Barrett and Sons,High Compatibility,82.0
Johnson-Hale,"Bennett, Walker and Taylor",High Compatibility,82.0
Johnson-Hale,Murphy PLC,High Compatibility,82.0
Harris Ltd,"Lee, Sosa and Hernandez",High Compatibility,82.0
Johnson-Hale,Martinez Inc,High Compatibility,82.0
"Avery, Jackson and Simmons",Martinez and Sons,High Compatibility,82.0
Morris-Brown,"Bennett, Green and Robles",High Compatibility,82.0
"Peterson, Turner and Meyers",Bell-Stephenson,High Compatibility,82.0
"Peterson, Turner and Meyers","Miller, Swanson and Allen",High Compatibility,82.0
Bennett-Roberts,Padilla Inc,High Compatibility,82.0
Bennett-Roberts,"Hammond, Thornton and Michael",High Compatibility,82.0
Johnson-Hale,Combs-Rivera,High Compatibility,82.0
Gibson-Jones,Adkins-Dean,High Compatibility,82.0
"Berry, Williams and Bean",Adkins-Dean,High Compatibility,82.0
"Berry, Williams and Bean","Jackson, Scott and Mclean",High Compatibility,82.0
"Berry, Williams and Bean","Fuentes, Hebert and Hunter",High Compatibility,82.0
Clark PLC,"Bennett, Green and Robles",High Compatibility,82.0
Clark PLC,"Perkins, Moss and Moreno",High Compatibility,82.0
"Berry, Williams and Bean",Taylor-Taylor,High Compatibility,82.0
"Berry, Williams and Bean","Fischer, Oconnor and Wright",High Compatibility,82.0
"Berry, Williams and Bean","Hammond, Thornton and Michael",High Compatibility,82.0
Hopkins LLC,York-Ball,High Compatibility,82.0
"Berry, Williams and Bean",Padilla Inc,High Compatibility,82.0
Shields PLC,"Crawford, Reyes and Smith",High Compatibility,82.0
Miller-Lamb,"Bennett, Green and Robles",High Compatibility,82.0
Miller-Lamb,"Perkins, Moss and Moreno",High Compatibility,82.0
Smith-Wright,Hunt LLC,High Compatibility,82.0
Smith-Wright,Johnston-Fuller,High Compatibility,82.0
Kirby-Foster,"Gay, Hoffman and Rose",High Compatibility,82.0
"Aguirre, Vincent and Chang",Manning Group,High Compatibility,82.0
"Aguirre, Vincent and Chang","Greene, Dyer and Owens",High Compatibility,82.0
"Peterson, Turner and Meyers","Dalton, Nguyen and Webb",High Compatibility,82.0
"Peterson, Turner and Meyers",Harris Group,High Compatibility,82.0
"Avery, Jackson and Simmons","Greene, Dyer and Owens",High Compatibility,82.0
"Avery, Jackson and Simmons",Manning Group,High Compatibility,82.0
Kirby-Foster,Martin-Hudson,High Compatibility,82.0
Smith-Wright,"Grant, Wright and Pearson",High Compatibility,82.0
Duncan-Rivas,Murphy PLC,High Compatibility,82.0
Smith-Wright,Hess-Wheeler,High Compatibility,82.0
"Aguirre, Vincent and Chang",Martinez and Sons,High Compatibility,82.0
Smith-Wright,"Meadows, Stephens and Hernandez",High Compatibility,82.0
"Watkins, Wood and Bird",Rivera Inc,High Compatibility,82.0
Casey-Cabrera,Torres-Orr,High Compatibility,82.0
"Watkins, Wood and Bird",Jensen-Roberts,High Compatibility,82.0
"Watkins, Wood and Bird","Edwards, Cabrera and Miller",High Compatibility,82.0
Bennett-Roberts,"Fischer, Oconnor and Wright",High Compatibility,82.0
Smith-Wright,Spencer and Sons,High Compatibility,82.0
Bennett-Roberts,Taylor-Taylor,High Compatibility,82.0
Duncan-Rivas,Martinez Inc,High Compatibility,82.0
"Phillips, Vincent and Mcintosh","Warren, Prince and Walker",High Compatibility,82.0
"Aguirre, Vincent and Chang","Woodard, Beck and Kim",High Compatibility,82.0
"Phillips, Vincent and Mcintosh",Hickman and Sons,High Compatibility,82.0
Martin Group,"Smith, Cunningham and Mays",High Compatibility,82.0
Williams-Melton,"Lee, Sosa and Hernandez",High Compatibility,82.0
Williams-Melton,York-Ball,High Compatibility,82.0
Casey-Cabrera,Mata Ltd,High Compatibility,82.0
"Phillips, Vincent and Mcintosh","Edwards, Cabrera and Miller",High Compatibility,82.0
"Phillips, Vincent and Mcintosh",Jensen-Roberts,High Compatibility,82.0
"Phillips, Vincent and Mcintosh",Rivera Inc,High Compatibility,82.0
Duncan-Rivas,"Bennett, Walker and Taylor",High Compatibility,82.0
