Record ID,Company_Name,MOAT,Unique_Selling_Proposition,Growth_Potential,Market_Size,Scalability,ROI,Revenues_Streams,Exit_Strategy,Domain,Valuation,Deal,Fund_Raised,Financials,Marketing_Strategy,Target_Audience,Risk_Assessment,Location,Investment_Stage,Sector
c9d2599a-96ad-49ac-9d63-d768aee5d53a,Adkins-Dean,Situation once either these top official success.,Their avoid answer dog behavior capital.,Low,70963505,Low,9,Gas I onto meeting.,Former physical half between.,AI/ML,9016548,309817,674069,3569438,Trial popular cost happy soldier whom trade.,Low of short give.,Medium,Jillborough,Seed,machine learning
c8bf8859-ca49-4b32-b58c-ec62141dd94f,"Smith, Cunningham and Mays",Simply himself whom exist.,Change hope involve rock number build from difficult drive have.,Medium,27412953,Medium,47,Center policy page tough.,Represent where past degree direction per mission note.,HealthTech,8247546,176398,97604,3444524,Picture probably least sea computer that.,Process tend summer.,Low,Alexfurt,Series B,biotech
e587c8b1-7613-49a6-b0fd-874941a8b24f,"Gay, Hoffman and Rose",Simply PM ground challenge month yourself.,Foreign book option better relate middle finish benefit clearly thousand than finish cultural.,Medium,70995045,Medium,92,Everybody keep.,Take western paper entire official someone television walk.,HealthTech,33421142,900935,239137,4433095,Hard team ground performance.,Number camera very.,High,Lake Vicki,Seed,biotech
fe038835-161a-474b-ae29-5e0e86695a38,Torres-Orr,Offer less include major whom one hospital.,That perhaps foreign sit reach at himself score.,Medium,46811157,Medium,12,Situation maintain.,Care daughter certainly money thing list carry.,HealthTech,11343263,480271,916823,4223385,His against expect high culture.,Quickly left yes.,High,East Rhonda,Growth,healthcare
102a44ff-c4eb-4822-85cf-65093da65200,"Fuentes, Hebert and Hunter",Consumer bad available fall recently.,Camera of body husband follow little.,Medium,99569781,High,89,Could step east.,Perform authority tend knowledge bring glass election.,Enterprise SaaS,33347089,497094,854036,2887340,Professor peace tonight speech imagine action spring.,Tonight say light practice professional rule.,Medium,West Daniel,Series B,HR tech
8bd542ef-6058-4f98-b4e5-c215b98554db,Murphy PLC,Song five Mrs catch customer.,Story growth point hair name line quickly.,Low,38152590,High,74,Win effort first.,Provide network look represent far school child current success.,HealthTech,3708294,88397,949727,2960683,Beyond perform eat base onto more.,Election necessary receive push training involve.,Medium,Jenkinsmouth,Series A,telemedicine
5186c24d-6b57-47e5-8436-88296205cfcf,"Walker, Allen and Conrad",Ball relationship need report attorney high debate bag.,Hospital wind author poor perhaps discussion.,Medium,45915602,Medium,58,Pattern billion behind.,Husband song glass interview pass require place ground outside.,HealthTech,37593983,202325,588582,451657,Road federal soldier sense court sure experience.,Water trouble true food good.,Low,Robbinsfort,Seed,biotech
4620cb17-8326-4b26-83ba-39095edc53c6,"Edwards, Cabrera and Miller",Firm professional between guy again occur conference.,Picture still business citizen recently enter now happen his husband read involve finish.,Medium,39776983,Medium,87,Race air manager.,In decade help new.,HealthTech,32113130,482980,161509,2085808,Ever I special wall health.,Door market far hope field.,Medium,Lake Jean,Growth,fitness tech
8a6942a0-4919-4f35-b596-cfddb565620d,Hunt LLC,Identify scene certain democratic government away well.,Land newspaper hair truth message born.,Medium,42934584,Low,94,Add seem why part national.,Response democratic sure perhaps.,AI/ML,5828013,651667,906443,659651,Recognize collection explain I particularly indicate.,Model quickly energy.,Low,Robertsshire,Growth,AI ethics
f33bffda-1f48-45ba-8e77-4f878dbeb4ca,"Bennett, Green and Robles",Walk program few scene.,Speak no surface education option wife election join no.,Low,87360018,Low,39,Eat see today thought language.,Public amount leader method three key sort.,FinTech,8993075,220047,518757,3284369,Employee increase analysis writer leave month news resource.,Seem policy produce long.,Low,South Laurenmouth,Series A,insurance
